City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
311,Fairbanks,US,64.8378,-147.7164,10.74,87,100,0.0,light snow
312,Athabasca,CA,54.7169,-113.2854,28.81,64,100,15.52,overcast clouds
313,Saint-Pierre,RE,-21.3393,55.4781,73.9,68,0,5.75,clear sky
314,Pangnirtung,CA,66.1451,-65.7125,4.08,74,100,4.25,overcast clouds
315,Kousseri,CM,12.0769,15.0306,75.16,43,89,5.75,overcast clouds
316,Grand Forks,US,47.9417,-97.4337,30.78,74,0,6.91,clear sky
317,Gondar,ET,12.6,37.4667,60.93,55,99,4.79,overcast clouds
318,Shelopugino,RU,51.6514,117.5599,-14.01,100,100,0.38,overcast clouds
319,Necochea,AR,-38.5473,-58.7368,69.67,72,98,15.95,overcast clouds
320,Qaanaaq,GL,77.484,-69.3632,-10.25,70,15,6.82,few clouds
321,Khuzdar,PK,27.7384,66.6434,56.64,18,0,2.71,clear sky
322,Makakilo City,US,21.3469,-158.0858,77.45,62,0,4.61,clear sky
323,Juneau,US,58.3019,-134.4197,28.4,100,75,0.0,broken clouds
324,Phultala,BD,22.7,89.5167,64.67,57,5,2.95,clear sky
325,Bali,ID,-8.5,115.0,77.97,91,81,4.76,moderate rain
326,Lima,PE,-12.0432,-77.0282,68.25,73,100,9.22,overcast clouds
327,Pijijiapan,MX,15.7011,-93.23,83.95,79,63,5.08,moderate rain
328,Pacific Grove,US,36.6177,-121.9166,65.55,60,0,8.01,clear sky
329,Whitehorse,CA,60.7161,-135.0538,16.57,78,100,6.91,light snow
330,Douentza,ML,14.9951,-2.9517,78.49,13,100,4.27,overcast clouds
331,Cortez,US,37.3489,-108.5859,43.7,42,0,10.36,clear sky
332,Talaya,RU,61.3833,152.75,-16.02,99,100,6.73,light snow
333,Dondo,MZ,-19.6094,34.7431,80.11,89,100,3.67,light rain
334,Alofi,NU,-19.0595,-169.9187,80.49,74,91,11.5,overcast clouds
335,Batsfjord,NO,70.6345,29.7185,30.13,88,82,16.78,broken clouds
336,Vilyuysk,RU,63.7553,121.6247,-33.57,99,90,2.39,overcast clouds
337,Cairns,AU,-16.9167,145.7667,79.07,97,40,3.44,scattered clouds
338,Youghal,IE,51.95,-7.8506,50.09,84,86,18.72,overcast clouds
339,Atambua,ID,-9.1061,124.8925,74.21,85,100,0.76,overcast clouds
340,Carayao,PY,-25.1833,-56.4,87.3,55,5,5.08,clear sky
341,Dubbo,AU,-32.25,148.6167,59.13,82,100,4.61,overcast clouds
342,Le Moule,GP,16.3332,-61.3473,84.24,76,17,16.71,few clouds
343,Gramado,BR,-29.3786,-50.8739,73.87,83,61,7.25,broken clouds
